epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.494318,1.34613,4.60122,1.43781,0,0,0,0,1.43003,4.72355,1.46277,0,0,0
2,1.08822,1.5636,4.44172,1.60327,0,0,0,0,1.43161,4.7322,1.47037,6.12625e-06,6.12625e-06,6.12625e-06
3,2.02855,1.44368,4.70462,1.52122,0,0,0,0,1.46219,4.7189,1.4787,1.2005e-05,1.2005e-05,1.2005e-05
4,2.78448,1.35927,4.6217,1.44085,0,0,0,0,1.44638,4.7203,1.47065,1.76362e-05,1.76362e-05,1.76362e-05
5,3.45424,1.33242,4.81657,1.27177,0,0,0,0,1.39268,4.69609,1.42093,2.302e-05,2.302e-05,2.302e-05
6,4.03208,1.58858,4.80966,1.27341,0,0,0,0,1.35341,4.66759,1.37114,2.81563e-05,2.81563e-05,2.81563e-05
7,4.57727,1.33901,4.24413,1.32027,0,0,0,0,1.32401,4.65001,1.34907,3.3045e-05,3.3045e-05,3.3045e-05
8,5.16107,1.57578,4.8326,1.24986,0,0,0,0,1.29303,4.59311,1.30161,3.76863e-05,3.76863e-05,3.76863e-05
9,5.73403,1.2379,4.70154,1.3159,0,0,0,0,1.23659,4.54037,1.2301,4.208e-05,4.208e-05,4.208e-05
10,6.32368,1.1793,4.27854,1.1995,0,0,0,0,1.19166,4.48624,1.1851,4.62263e-05,4.62263e-05,4.62263e-05
11,6.9314,1.6678,4.82902,1.25914,0,0,0,0,1.19099,4.43356,1.15243,5.0125e-05,5.0125e-05,5.0125e-05
12,7.51237,1.22419,4.29073,1.27277,0,0,0,0,1.13541,4.37346,1.091,5.37763e-05,5.37763e-05,5.37763e-05
13,8.08012,1.3471,4.76166,1.12744,0,0,0,0,1.10574,4.31171,1.04184,5.718e-05,5.718e-05,5.718e-05
14,8.63066,1.16727,4.1595,1.18015,0,0,0,0,1.07722,4.27096,1.01219,6.03362e-05,6.03362e-05,6.03362e-05
15,9.20732,1.54152,4.14634,1.3311,0,0,0,0,1.04816,4.2446,0.99022,6.3245e-05,6.3245e-05,6.3245e-05
16,9.78817,1.25254,4.46711,1.22726,0,0,0,0,1.03771,4.224,0.97616,6.59063e-05,6.59063e-05,6.59063e-05
17,10.3627,1.10667,4.34797,1.13012,0,0,0,0,1.01358,4.20618,0.96196,6.832e-05,6.832e-05,6.832e-05
18,10.9042,1.08723,4.63928,1.12951,0,0,0,0,1.01358,4.20618,0.96196,7.04862e-05,7.04862e-05,7.04862e-05
19,11.4831,1.03778,4.2725,1.1001,0.00362,0.04167,0.0028,0.00028,0.98769,4.18661,0.9441,7.2405e-05,7.2405e-05,7.2405e-05
20,12.0435,1.24155,3.9957,1.22298,0.00362,0.04167,0.0028,0.00028,0.98769,4.18661,0.9441,7.40763e-05,7.40763e-05,7.40763e-05
